"","name","date","open","high","low","close","volume","market"
"422","Bitcoin","2014-06-23",602.16,603.21,586.34,593.98,14053800,7787160000
"423","Bitcoin","2014-06-24",593.97,596.97,582.36,582.36,14144900,7683850000
"424","Bitcoin","2014-06-25",581.81,583.6,565.63,566.34,20687700,7529260000
"425","Bitcoin","2014-06-26",566.14,581.63,564.73,581.14,14655900,7329110000
"426","Bitcoin","2014-06-27",581.3,600.12,579.88,597.26,20814600,7527840000
"427","Bitcoin","2014-06-28",599.08,604.47,595.92,596.55,13398100,7761630000
"428","Bitcoin","2014-06-29",596.33,604.08,596.16,602.72,8897470,7728190000
"429","Bitcoin","2014-06-30",602.62,645.15,599.88,639.8,46422400,7812050000
"430","Bitcoin","2014-07-01",641.39,657.86,640.11,640.81,38446300,8316770000
"431","Bitcoin","2014-07-02",641.04,656.68,638.34,650.88,25768200,8314310000
"432","Bitcoin","2014-07-03",650.77,650.77,641.3,645.16,18949000,8442770000
"433","Bitcoin","2014-07-04",644.65,648.43,629.4,630.69,22237200,8365570000
"434","Bitcoin","2014-07-05",629.95,633.22,628,631.46,9105940,8177490000
"435","Bitcoin","2014-07-06",631.77,638.65,631.16,635.81,10080000,8203530000
"436","Bitcoin","2014-07-07",635.46,637.16,617.01,624.09,17813600,8253710000
"437","Bitcoin","2014-07-08",622.57,626.7,620.91,624.82,10005500,8088590000
"438","Bitcoin","2014-07-09",625.22,627,622.6,624.51,9819150,8125370000
"439","Bitcoin","2014-07-10",624.83,626.12,612.35,616.76,15880700,8122830000
"440","Bitcoin","2014-07-11",616.66,632.09,615.77,632,16467100,8.019e+09
"441","Bitcoin","2014-07-12",631.88,636.66,626.98,633.71,13329000,8219370000
"442","Bitcoin","2014-07-13",634.22,634.73,624.91,626.5,11291000,8252240000
"443","Bitcoin","2014-07-14",626.56,627.34,617.32,619.32,12706800,8155140000
"444","Bitcoin","2014-07-15",620,625.14,619.63,621.59,10873200,8071770000
"445","Bitcoin","2014-07-16",622.01,623.09,615.33,616.8,13182400,8100510000
"446","Bitcoin","2014-07-17",616.54,626.29,608.4,623.09,16576700,8031440000
"447","Bitcoin","2014-07-18",622.37,629.21,620.47,628.78,14158100,8110060000
"448","Bitcoin","2014-07-19",629.17,629.17,624.6,628.51,7222030,8201340000
"449","Bitcoin","2014-07-20",628.56,628.56,622.77,623.9,5760120,8196210000
"450","Bitcoin","2014-07-21",623.95,624.09,619.11,622.21,10711900,8138520000
"451","Bitcoin","2014-07-22",622.27,624.3,620.96,621.55,9602880,8119060000
"452","Bitcoin","2014-07-23",621.12,624.43,618.29,619.41,11056600,8106260000
"453","Bitcoin","2014-07-24",619.5,620.43,595.57,601.73,20917200,8087290000
"454","Bitcoin","2014-07-25",601.51,607.07,597.23,601.09,12279500,7854660000
"455","Bitcoin","2014-07-26",601.54,602.09,593.96,595.81,10752900,7857510000
"456","Bitcoin","2014-07-27",595.67,598.94,593.43,593.85,7774230,7782830000
"457","Bitcoin","2014-07-28",594.14,594.57,575.18,585.69,19316400,7765040000
"458","Bitcoin","2014-07-29",585.55,588.38,581.7,584.73,11275400,7655040000
"459","Bitcoin","2014-07-30",584.74,585.12,564.9,567.29,14898800,7646630000
"460","Bitcoin","2014-07-31",567.37,586.24,564.51,586.24,22467900,7421870000
